Mood,Weather,Temperature,Humidity,WindSpeed,Workout
Relaxed,Sunny,21.9,50,7.9,Yoga
Stressed,Snowy,23.0,77,12.8,Yoga
Energetic,Snowy,15.4,40,6.9,Indoor Cardio
Relaxed,Foggy,16.4,55,1.7,Yoga
Stressed,Foggy,12.6,36,6.2,Meditation
Relaxed,Foggy,5.1,41,10.8,Dance
Happy,Cloudy,26.2,85,0.2,HIIT
Stressed,Cloudy,26.2,63,8.4,Yoga
Tired,Sunny,15.9,20,6.6,Meditation
Happy,Windy,33.1,79,7.4,Meditation
Stressed,Cloudy,23.1,82,8.1,Yoga
Tired,Cloudy,19.3,33,7.2,Indoor Cardio
Tired,Cloudy,20.9,23,11.6,Indoor Cardio
Relaxed,Snowy,22.8,26,3.7,Yoga
Energetic,Rainy,16.9,50,1.9,Dance
Energetic,Snowy,17.2,34,6.4,HIIT
Stressed,Sunny,7.8,77,7.1,Yoga
Stressed,Rainy,26.9,87,4.1,Meditation
Happy,Windy,15.0,44,12.8,Meditation
Energetic,Windy,17.6,47,10.5,Outdoor Running
Energetic,Foggy,7.4,55,12.6,HIIT
Stressed,Rainy,14.1,88,2.7,Meditation
Relaxed,Foggy,11.7,87,6.3,Yoga
Relaxed,Sunny,31.3,75,4.2,Yoga
Energetic,Cloudy,24.3,56,2.4,Dance
Energetic,Snowy,19.8,78,9.1,HIIT
Stressed,Snowy,20.6,24,7.8,Meditation
Happy,Sunny,22.1,44,6.2,HIIT
Tired,Sunny,8.9,58,9.2,Meditation
Sad,Cloudy,28.0,50,3.0,Yoga
Relaxed,Snowy,26.9,45,3.1,Dance
Stressed,Rainy,22.9,86,3.3,Meditation
Happy,Foggy,13.3,73,8.1,Meditation
Relaxed,Sunny,26.7,83,13.2,Yoga
Happy,Foggy,7.5,49,13.7,Meditation
Happy,Snowy,26.1,82,9.2,Dance
Stressed,Foggy,30.7,77,12.0,Yoga
Sad,Cloudy,9.8,20,0.8,Meditation
Energetic,Cloudy,17.5,42,14.7,HIIT
Tired,Cloudy,30.0,20,3.8,Indoor Cardio
Energetic,Foggy,6.4,79,6.7,Indoor Cardio
Happy,Sunny,21.2,76,1.5,HIIT
Energetic,Cloudy,5.8,84,0.4,HIIT
Stressed,Cloudy,18.6,55,9.2,Meditation
Stressed,Snowy,14.3,88,11.4,Meditation
Tired,Cloudy,26.6,64,10.1,Meditation
Stressed,Foggy,31.4,62,4.0,Meditation
Stressed,Rainy,18.5,45,1.0,Yoga
Sad,Snowy,26.3,84,1.5,Meditation
Stressed,Windy,11.6,35,8.5,Yoga
Sad,Sunny,8.1,85,0.0,Yoga
Energetic,Windy,28.3,43,7.3,HIIT
Sad,Cloudy,21.9,71,4.9,Meditation
Sad,Snowy,8.1,36,9.6,Meditation
Energetic,Snowy,34.0,28,3.1,HIIT
Stressed,Sunny,10.9,43,2.4,Meditation
Tired,Foggy,26.5,44,1.6,Meditation
Stressed,Cloudy,13.7,31,1.8,Meditation
Relaxed,Snowy,6.9,29,7.0,Dance
Relaxed,Windy,10.4,47,13.2,Yoga
Happy,Snowy,6.2,72,3.4,Dance
Relaxed,Rainy,19.8,66,9.8,Dance
Energetic,Windy,22.2,27,7.5,HIIT
Sad,Sunny,10.3,44,5.6,Meditation
Tired,Sunny,19.2,70,6.1,Meditation
Relaxed,Rainy,16.3,88,9.7,Yoga
Stressed,Windy,18.6,73,14.1,Meditation
Sad,Foggy,12.8,77,4.1,Yoga
Happy,Foggy,12.2,76,10.9,HIIT
Sad,Foggy,16.8,35,2.9,Meditation
Happy,Snowy,25.0,35,14.5,Meditation
Sad,Sunny,18.9,49,3.2,Meditation
Happy,Rainy,9.4,86,14.7,Indoor Cardio
Happy,Windy,27.6,24,4.4,HIIT
Happy,Rainy,15.3,74,6.5,Yoga
Stressed,Rainy,16.4,84,2.2,Yoga
Tired,Sunny,18.3,40,4.8,Indoor Cardio
Energetic,Rainy,5.5,45,11.7,HIIT
Relaxed,Snowy,31.6,49,11.7,Dance
Tired,Cloudy,26.3,87,11.0,Meditation
Stressed,Sunny,17.4,44,8.9,Yoga
Relaxed,Windy,18.0,27,11.0,Dance
Happy,Foggy,6.0,27,0.1,Indoor Cardio
Stressed,Snowy,19.8,74,7.3,Yoga
Energetic,Cloudy,11.6,81,4.3,Dance
Stressed,Cloudy,34.2,56,0.9,Meditation
Happy,Snowy,32.0,30,8.2,Indoor Cardio
Tired,Sunny,14.0,82,0.7,Indoor Cardio
Happy,Snowy,18.9,55,1.1,Dance
Stressed,Windy,27.6,35,1.5,Yoga
Happy,Cloudy,19.9,25,1.8,Meditation
Energetic,Cloudy,25.5,21,14.5,Outdoor Running
Stressed,Foggy,15.6,37,13.5,Yoga
Tired,Foggy,11.7,51,1.0,Indoor Cardio
Stressed,Windy,5.5,84,6.5,Yoga
Tired,Windy,21.3,58,1.5,Meditation
Tired,Cloudy,7.6,25,6.5,Indoor Cardio
Sad,Cloudy,11.1,45,4.2,Meditation
Tired,Cloudy,28.4,43,6.5,Meditation
Energetic,Windy,29.0,71,4.8,Outdoor Running
Tired,Sunny,16.2,22,3.5,Indoor Cardio
Happy,Foggy,16.0,52,0.4,Yoga
Happy,Cloudy,13.2,60,2.8,Outdoor Running
Stressed,Rainy,17.9,29,5.5,Meditation
Tired,Snowy,32.5,49,5.7,Indoor Cardio
Tired,Sunny,21.5,34,5.6,Meditation
Sad,Sunny,15.8,72,3.8,Meditation
Sad,Rainy,6.3,36,14.1,Yoga
Energetic,Windy,22.1,81,11.1,Dance
Relaxed,Snowy,21.5,51,1.3,Dance
Stressed,Foggy,28.1,37,7.1,Yoga
Energetic,Cloudy,6.6,28,6.2,Outdoor Running
Relaxed,Windy,8.1,83,14.7,Yoga
Energetic,Snowy,26.9,33,7.1,Indoor Cardio
Happy,Cloudy,12.8,40,1.3,Indoor Cardio
Stressed,Cloudy,16.5,77,14.8,Yoga
Tired,Windy,20.2,63,8.9,Indoor Cardio
Sad,Foggy,7.1,71,13.1,Meditation
Energetic,Windy,27.4,68,0.4,Dance
Energetic,Rainy,21.7,38,3.2,HIIT
Relaxed,Windy,14.2,49,11.5,Yoga
Happy,Windy,13.6,45,8.9,Indoor Cardio
Sad,Sunny,30.8,88,5.6,Meditation
Happy,Foggy,17.7,38,13.7,HIIT
Happy,Sunny,6.5,61,2.7,HIIT
Sad,Windy,34.7,90,1.3,Yoga
Happy,Cloudy,26.5,20,10.4,Outdoor Running
Stressed,Foggy,9.2,30,7.2,Yoga
Relaxed,Rainy,7.7,26,1.8,Yoga
Energetic,Snowy,21.4,82,11.1,Indoor Cardio
Sad,Windy,7.9,28,8.5,Meditation
Happy,Windy,23.6,30,6.4,Indoor Cardio
Stressed,Cloudy,31.1,83,3.7,Yoga
Relaxed,Snowy,15.5,24,6.6,Dance
Happy,Rainy,28.1,74,8.8,Indoor Cardio
Relaxed,Sunny,26.8,67,14.0,Dance
Stressed,Sunny,16.1,50,7.9,Yoga
Sad,Rainy,8.0,77,3.6,Meditation
Stressed,Rainy,13.2,44,5.3,Meditation
Happy,Windy,23.2,27,8.7,Meditation
Relaxed,Foggy,28.0,62,4.3,Yoga
Energetic,Sunny,29.9,72,14.8,Dance
Relaxed,Foggy,8.3,36,1.4,Dance
Sad,Snowy,7.4,33,6.5,Meditation
Stressed,Windy,13.7,54,0.7,Yoga
Energetic,Snowy,9.6,43,5.9,Indoor Cardio
Energetic,Snowy,33.3,25,1.1,Indoor Cardio
Relaxed,Cloudy,28.3,31,7.5,Yoga
Tired,Windy,25.5,20,0.2,Meditation
Stressed,Snowy,28.7,79,7.2,Meditation
Energetic,Snowy,22.0,50,14.7,Indoor Cardio
Relaxed,Foggy,15.5,40,2.9,Yoga
Tired,Windy,34.4,81,7.1,Meditation
Energetic,Foggy,29.3,46,7.0,Dance
Stressed,Cloudy,6.4,74,5.8,Yoga
Relaxed,Rainy,20.4,32,6.6,Dance
Tired,Foggy,9.6,66,0.2,Meditation
Happy,Foggy,20.5,24,1.5,Indoor Cardio
Energetic,Windy,16.1,65,7.8,Outdoor Running
Relaxed,Cloudy,34.5,83,10.8,Dance
Stressed,Foggy,19.6,26,4.4,Yoga
Sad,Windy,8.1,53,11.0,Yoga
Relaxed,Foggy,30.8,73,4.8,Dance
Tired,Windy,11.0,83,7.5,Meditation
Happy,Windy,29.0,47,13.8,Outdoor Running
Sad,Cloudy,27.4,72,3.7,Meditation
Sad,Rainy,32.3,32,4.5,Meditation
Happy,Sunny,22.2,46,10.4,Outdoor Running
Tired,Cloudy,28.0,86,10.7,Indoor Cardio
Stressed,Windy,24.9,32,10.0,Yoga
Stressed,Snowy,26.4,37,14.9,Meditation
Relaxed,Foggy,33.2,61,1.7,Dance
Stressed,Cloudy,23.5,85,6.4,Yoga
Sad,Cloudy,13.3,64,11.7,Meditation
Energetic,Windy,9.4,68,3.6,Dance
Stressed,Foggy,33.8,82,6.7,Meditation
Happy,Windy,12.8,55,12.3,Outdoor Running
Stressed,Sunny,5.2,21,11.0,Meditation
Energetic,Cloudy,15.3,63,9.6,Dance
Tired,Sunny,31.1,82,13.0,Indoor Cardio
Tired,Cloudy,9.7,60,9.0,Meditation
Happy,Foggy,11.5,84,6.1,Meditation
Relaxed,Foggy,23.9,80,4.2,Yoga
Energetic,Foggy,10.4,26,12.7,HIIT
Relaxed,Foggy,7.1,73,13.7,Dance
Energetic,Sunny,26.1,24,0.2,Dance
Energetic,Foggy,11.8,45,14.7,Dance
Relaxed,Cloudy,12.3,46,10.1,Yoga
Energetic,Rainy,31.1,87,5.4,Dance
Energetic,Snowy,34.6,33,4.8,Dance
Tired,Cloudy,12.4,23,0.0,Meditation
Sad,Foggy,23.8,34,3.3,Meditation
Happy,Windy,26.3,85,2.4,Meditation
Stressed,Foggy,8.3,26,0.2,Yoga
Sad,Snowy,24.9,20,14.5,Yoga
Energetic,Foggy,23.7,85,13.2,HIIT
Stressed,Cloudy,14.1,79,10.5,Yoga
Sad,Rainy,28.4,30,11.2,Yoga
Tired,Rainy,34.9,77,0.6,Indoor Cardio
Energetic,Sunny,17.7,49,9.8,Outdoor Running
Energetic,Foggy,22.1,21,4.8,Indoor Cardio
Stressed,Windy,8.2,77,0.8,Meditation
Happy,Snowy,24.9,64,0.3,Indoor Cardio
Tired,Snowy,34.8,77,3.6,Meditation
Relaxed,Rainy,8.5,78,3.5,Dance
Relaxed,Windy,13.7,55,12.7,Yoga
Relaxed,Sunny,13.0,75,7.5,Yoga
Tired,Rainy,12.4,27,13.7,Meditation
Stressed,Foggy,5.9,40,6.0,Yoga
Energetic,Sunny,33.2,80,2.7,Dance
Energetic,Snowy,27.8,37,8.1,HIIT
Sad,Foggy,14.7,82,9.2,Yoga
Relaxed,Snowy,33.4,83,9.4,Yoga
Stressed,Sunny,13.3,74,9.6,Meditation
Energetic,Cloudy,23.3,89,8.7,Dance
Happy,Sunny,34.3,50,6.8,Dance
Sad,Snowy,31.8,23,3.7,Yoga
Energetic,Windy,27.3,21,3.8,Dance
Tired,Windy,12.0,30,8.8,Indoor Cardio
Sad,Rainy,12.1,50,3.4,Meditation
Relaxed,Sunny,16.1,59,3.6,Dance
Tired,Sunny,11.1,68,1.2,Meditation
Energetic,Foggy,24.1,76,11.7,Dance
Energetic,Windy,11.9,71,8.7,Dance
Energetic,Cloudy,30.3,65,14.8,Dance
Energetic,Rainy,10.8,22,9.0,Indoor Cardio
Energetic,Rainy,14.3,72,11.5,HIIT
Happy,Rainy,26.0,25,9.1,Meditation
Relaxed,Foggy,31.2,30,9.5,Yoga
Sad,Cloudy,15.0,28,12.2,Meditation
Energetic,Foggy,21.0,72,13.1,Indoor Cardio
Energetic,Cloudy,31.8,65,0.6,Outdoor Running
Tired,Cloudy,32.9,66,1.6,Meditation
Sad,Foggy,18.5,23,0.4,Yoga
Tired,Foggy,24.7,85,13.1,Indoor Cardio
Happy,Foggy,17.4,46,4.5,HIIT
Stressed,Snowy,29.1,67,8.3,Meditation
Tired,Rainy,30.5,34,13.3,Meditation
Energetic,Windy,30.9,33,4.7,HIIT
Relaxed,Cloudy,11.1,24,0.9,Dance
Energetic,Foggy,23.3,90,0.9,Dance
Energetic,Rainy,7.2,64,6.7,HIIT
Tired,Sunny,12.0,48,3.2,Meditation
Happy,Sunny,8.5,60,1.8,Dance
Energetic,Cloudy,6.6,32,3.3,Outdoor Running
Relaxed,Windy,15.0,82,4.5,Yoga
Stressed,Rainy,9.6,41,12.1,Yoga
Stressed,Cloudy,30.3,43,3.5,Yoga
Tired,Snowy,26.0,23,14.7,Meditation
Stressed,Snowy,18.5,31,7.3,Meditation
Energetic,Windy,33.2,30,8.2,Outdoor Running
Stressed,Cloudy,7.6,67,5.2,Yoga
Sad,Snowy,28.6,22,5.2,Yoga
